,User,Trial,Gesture Frequency,Self-Claimed Level,GRS,Volume of Motion,80% Volume of Motion,Time to Completion,Economy of Motion
0,B,1,1,N,13,0.04065603906053592,0.0043247588783734475,2.3,3.327110623423987
1,B,1,2,N,13,0.007313405576776603,0.0010692761669161795,0.8666666666666667,1.0317025767157848
2,B,1,3,N,13,0.12638028490925604,0.7228375418793194,1.2333333333333334,2.140718725857322
3,B,1,4,N,13,0.7822249108276157,0.28174409532025285,2.8,3.429028760952838
4,B,1,5,N,13,0.8534907650640496,0.10464584602151188,2.3333333333333335,3.3293808176435093
5,B,1,6,N,13,5.1365906588131525,3.7981363617691866,11.666666666666666,20.000189259938193
6,B,1,7,N,13,0.5266556381109525,0.6292776328435488,1.7333333333333334,3.136770644418609
7,B,1,8,N,13,0.9698592131611733,0.4822626416154291,2.5,4.2848637217594225
8,B,2,1,N,17,0.052858910619274405,0.22331953603612276,2.066666666666667,2.693323225152087
9,B,2,2,N,17,0.5887832774491762,0.3201726902758416,4.3,4.943068144860239
10,B,2,3,N,17,1.2029688266671035,0.31299637643625533,2.7333333333333334,3.0519846835859625
11,B,2,4,N,17,0.8006669849874584,0.30206229397442,1.9333333333333333,2.3011804596603933
12,B,3,1,N,14,0.1655336685515234,0.00043809497010729667,1.3333333333333333,2.1189613116217703
13,B,3,2,N,14,0.11270904477560306,11.427507317637406,2.066666666666667,2.2916458640477306
14,B,3,3,N,14,9.46464642672079,0.28036343913531764,2.2666666666666666,2.8811567291215945
15,B,3,4,N,14,0.14191417773330542,0.11625879738046418,2.1666666666666665,2.598033194004405
16,B,4,1,N,10,0.004476733653341678,0.02151378888812039,0.8,1.1858413192432815
17,B,4,2,N,10,0.5638775096170814,0.310205765350102,13.366666666666667,8.240296963738121
18,B,4,3,N,10,0.2813453298005304,0.08829464128866041,2.533333333333333,3.2829750325187423
19,B,4,4,N,10,1.878757786680455,0.876847952499148,9.833333333333334,7.5780270353173975
20,B,5,1,N,12,6.708207492355736,0.284438551946547,2.3,3.133752219008829
21,B,5,2,N,12,0.1603091228575098,0.11022302253715856,2.466666666666667,3.541451950923669
22,B,5,3,N,12,0.22837033611377783,0.012088329413883216,2.1666666666666665,3.621876232666426
23,B,5,4,N,12,0.055163950729320024,4.966319567223089,1.4,2.1644373838529156
24,C,1,1,I,26,415.2716436400699,0.8395233673658156,3.566666666666667,7.355266819863051
25,C,1,2,I,26,2.489448540585145,0.8871471213409645,5.4,5.887790506032782
26,C,1,3,I,26,0.5755044070796733,0.190123705141767,3.3333333333333335,5.059992929534114
27,C,1,4,I,26,0.08041732041310158,0.5640326022273149,3.1,4.1119735488120925
28,C,2,1,I,20,2.7313317380347106,0.25630403399111784,4.4,8.303651159540657
29,C,2,2,I,20,0.4496180916965104,0.10852883598858551,3.7666666666666666,5.089307122744054
30,C,2,3,I,20,14.111160799749992,0.010080794055125375,5.766666666666667,5.253322056908232
31,C,2,4,I,20,36.604116684823005,0.5585922260037144,2.566666666666667,3.6191496885270227
32,C,3,1,I,26,0.059409845616647916,0.1439373893885886,3.6,4.948918859447777
33,C,3,2,I,26,1.6599980020494103,1.1132421797794554,6.766666666666667,10.53398950930387
34,C,3,3,I,26,0.538330136674583,0.10253508617869445,3.3,3.976591325362485
35,C,3,4,I,26,0.4160964718210837,0.010506703251703308,1.5333333333333334,2.5410542991991605
36,C,4,1,I,30,0.6620539430173117,0.3925890806511262,1.8333333333333333,4.035004562094431
37,C,4,2,I,30,0.33096715128533377,19.881610711125976,4.4,7.282798922154772
38,C,4,3,I,30,100.99522270049091,0.41028175548530976,2.933333333333333,4.54944851494783
39,C,4,4,I,30,0.038755423483655196,0.026250302003506077,3.3333333333333335,6.8048575926197
40,C,5,1,I,17,0.6551020503456152,0.0065830834224304465,2.8,4.31420742351232
41,C,5,2,I,17,1.634987323055991,1.3124798200130225,3.5,8.891015171472858
42,C,5,3,I,17,2.2273584438286846,0.002729106263722308,2.566666666666667,2.7093651578802356
43,C,5,4,I,17,226.6469721176516,0.1245936398126962,2.2666666666666666,3.0238306176752983
44,D,1,1,E,14,0.22390279112636682,0.03962321349073737,2.466666666666667,3.153619490379996
45,D,1,2,E,14,0.03668584047268793,0.04125430373029354,3.2,2.802198397018378
46,D,1,3,E,14,0.3789853495041276,0.16784337624022114,3.6333333333333333,3.144571911558389
47,D,1,4,E,14,0.040980783440790085,0.008416384186791442,2.3,2.5667512203650475
48,D,2,1,E,18,0.127733363158713,0.1782624480015738,1.7333333333333334,2.572049750057572
49,D,2,2,E,18,0.06572985941673223,0.019982122371366998,3.0,2.735170406271115
50,D,2,3,E,18,0.33981942333194015,0.07776035746685112,2.8666666666666667,2.7057982926427466
51,D,2,4,E,18,0.446485175411974,0.0164921085948287,1.6333333333333333,2.388212365689795
52,D,3,1,E,14,0.04342335634244525,0.02942432804271946,1.2,1.687105463840278
53,D,3,2,E,14,0.010600057472687364,0.0001579515969262795,1.8,1.843368694843125
54,D,3,3,E,14,0.2632589593571881,0.026950022800879728,0.8,4.844951743379447
55,D,3,4,E,14,0.004402206247158056,0.050932778802755166,2.6666666666666665,2.5180616844255095
56,D,3,5,E,14,0.01576869674188555,0.0003343008826967702,1.5,2.379553220692418
57,D,4,1,E,8,0.06520797974278597,0.009048214224413815,1.6666666666666667,1.7162751150519004
58,D,4,2,E,8,5.945313272479234e-06,5.668382170957911,1.4333333333333333,1.2313576464381357
59,D,4,3,E,8,0.00841039915201111,0.0012134457373883958,1.8,1.6670612571016472
60,D,4,4,E,8,0.024123958698390832,0.1626767050671352,3.3,3.9934066201124576
61,D,5,1,E,15,0.23941586339063353,0.46075062331130173,2.4,3.6876679955598424
62,D,5,2,E,15,0.14010626738771637,0.09335553744576562,2.2333333333333334,1.684777917465701
63,D,5,3,E,15,0.08787360848789011,0.1730229260217584,3.433333333333333,2.2413220055698657
64,D,5,4,E,15,0.010310504892657139,0.03397705353543876,2.066666666666667,1.7522923013669278
65,E,1,1,E,17,0.23631994091507222,0.5135330489669789,3.1666666666666665,4.255104383318608
66,E,1,2,E,17,0.00952782631383484,0.0052919108587236394,2.3,2.5694656570670285
67,E,1,3,E,17,2.913991755500212,0.6693986103256899,2.6333333333333333,2.86154546918357
68,E,1,4,E,17,42.93475357682739,0.018640486850129926,2.2666666666666666,2.8260849764220812
69,E,2,1,E,20,0.24324720767604577,0.012072964382916315,2.566666666666667,2.7059302937880463
70,E,2,2,E,20,0.9008005354311165,0.1840500170966943,2.2,3.090248443487287
71,E,2,3,E,20,0.018573073714043743,0.07025049150562375,1.8333333333333333,2.941812433994961
72,E,2,4,E,20,1.2252288789494195,0.2344817311588636,1.9333333333333333,3.131522011599333
73,E,3,1,E,19,0.06712475104737932,0.05648046598732211,1.9,2.2219990674245356
74,E,3,2,E,19,1.204727097264547,2.1376472206311425,1.8,3.3249863567546
75,E,3,3,E,19,0.014381697898343199,0.014785931673344726,2.1333333333333333,2.605982636354629
76,E,3,4,E,19,1.439021124694695,2.269589454019385,2.4,3.4859559478203375
77,E,4,1,E,19,0.3630490607235226,0.0027039482559796657,2.2,2.4402294623579697
78,E,4,2,E,19,0.08027724806535469,0.028607581653336062,2.066666666666667,3.2321320412016643
79,E,4,3,E,19,1.1004725025642637,0.3040570137607617,1.6,2.39848570567544
80,E,4,4,E,19,15.734358768126869,1.4273761143785775,1.5333333333333334,2.009158370937397
81,E,5,1,E,19,0.018435067222918856,0.10004275494044838,1.6333333333333333,1.675628395922933
