,User,Trial,Gesture Frequency,Self-Claimed Level,GRS,Respect for Tissue,Suture/Needle Handling,Time and Motion,Flow of Operation,Overall Performance,Quality of Final Product,Volume of Motion,80% Volume of Motion,Time to Completion,Economy of Motion
0,B,1,1,N,13,2,2,2,2,2,3,1.8006466126101768,0.3212387067324406,6.833333333333333,6.407449779984531
1,B,1,2,N,13,2,2,2,2,2,3,0.40439864809637377,0.004554633082744538,2.3,1.5063324095918411
2,B,2,1,N,9,1,1,2,2,1,2,0.22017404482113215,0.010721063785272602,3.1333333333333333,2.5009691676684276
3,B,2,2,N,9,1,1,2,2,1,2,0.5291863558543136,0.0761575064009651,6.166666666666667,3.7159742224026115
4,B,3,1,N,11,1,2,2,2,2,2,0.45393437884823895,0.010982431747362088,3.2333333333333334,2.230929174970222
5,B,3,2,N,11,1,2,2,2,2,2,0.09813473152047095,0.17748756178965983,3.6666666666666665,5.621795821528478
6,B,4,1,N,8,1,2,1,1,1,2,3.710029256078157,0.6833587377541415,8.866666666666667,6.747062899962255
7,B,4,2,N,8,1,2,1,1,1,2,0.24325090905129998,3.782790898308584e-05,6.066666666666666,4.428010460763829
8,C,1,1,I,20,4,3,3,3,3,4,0.2784449392632824,0.10447330770819559,0.8333333333333334,1.7992439091870547
9,C,1,2,I,20,4,3,3,3,3,4,0.3471284051626061,8.58377688041063,1.5333333333333334,4.500912238077635
10,C,2,1,I,22,4,3,3,4,4,4,0.02112791785577119,0.04247793552468456,0.9,3.1526594153229675
11,C,2,2,I,22,4,3,3,4,4,4,2.201229094587665,0.9483721001352915,1.4,5.437603303008624
12,C,3,1,I,18,3,3,3,3,3,3,0.9221264904869216,1.3334140429803438,1.1666666666666667,4.933511376501935
13,C,3,2,I,18,3,3,3,3,3,3,5.734093702769148,3.129058438216366,1.2333333333333334,5.062684620828992
14,C,4,1,I,20,4,3,3,3,3,4,2.901749537065895,4.9911071787310926,1.0333333333333334,4.63199246239256
15,C,4,2,I,20,4,3,3,3,3,4,4.1850742742779365,1.4856249435017712,4.633333333333334,10.865287265682937
16,C,5,1,I,20,4,3,3,3,3,4,0.27835706139734206,1.1454530542663954,1.4,3.2794403698000427
17,C,5,2,I,20,4,3,3,3,3,4,1.4950781582625374,1.4270947708959585,1.3666666666666667,5.562244247974685
18,D,1,1,E,14,3,1,2,3,2,3,4.153604898552486,0.0072224729055259075,2.4,5.123332524992264
19,D,1,2,E,14,3,1,2,3,2,3,2.342977796917822,2.9104621447087156,4.333333333333333,7.046956354058757
20,D,2,1,E,16,3,2,2,3,3,3,0.1033421000006025,0.0818021815893672,2.3666666666666667,2.8633849714464623
21,D,2,2,E,16,3,2,2,3,3,3,341.66030278355123,0.12176676806863546,3.1333333333333333,4.438755728179704
22,D,3,1,E,12,1,2,2,2,2,3,0.17410832704322554,0.16258900096605722,2.933333333333333,2.870675230866784
23,D,3,2,E,12,1,2,2,2,2,3,1098.6210695091645,1.3686728435104878,9.4,11.77636297882082
24,D,4,1,E,19,3,3,3,4,3,3,0.14458288390958698,0.17022951567455513,1.5,2.7992805675677945
25,D,4,2,E,19,3,3,3,4,3,3,0.3900124482407772,0.006289933065275269,2.5,2.521698567978652
26,D,5,1,E,18,3,3,3,3,3,3,0.46724887006405563,0.20195229762251068,2.8333333333333335,2.7410584039394603
27,D,5,2,E,18,3,3,3,3,3,3,0.05458897007153466,0.006210057276137939,2.2666666666666666,2.7620789111648567
28,E,1,1,E,18,4,2,2,3,3,4,1.255330546923887,1.2370130096021505,5.0,8.432122732851838
29,E,1,2,E,18,4,2,2,3,3,4,1.8959398819624038,0.01485561578519395,2.3666666666666667,4.002640768970412
30,E,2,1,E,19,3,3,3,3,3,4,0.144140798004628,0.36135437786722896,3.2333333333333334,5.078546354746975
31,E,2,2,E,19,3,3,3,3,3,4,1.379710787509597,4317.290142771986,3.7,4.850051029840326
32,E,3,1,E,22,3,4,3,4,4,4,51.75591449442841,0.4989489864952194,3.433333333333333,4.593766036930446
33,E,3,2,E,22,3,4,3,4,4,4,0.3108467412274958,0.9898363912351305,2.6,4.469168218600904
34,E,4,1,E,18,2,3,3,4,3,3,0.5505307030222107,0.08423520174121532,3.1666666666666665,3.4921587312128075
35,E,4,2,E,18,2,3,3,4,3,3,0.05496234780139601,0.04181600818331681,2.8,2.6857214097556565
36,E,5,1,E,21,3,4,3,4,3,4,0.022709334781226345,0.000430379692886574,2.2666666666666666,2.2451522369448
37,E,5,2,E,21,3,4,3,4,3,4,2.9991766738195955,0.1830108868336682,1.9333333333333333,3.640707099209717
38,F,1,1,I,16,3,2,2,3,3,3,0.013796271063800505,0.0053894229063437575,1.7,1.696226797541985
39,F,1,2,I,16,3,2,2,3,3,3,0.20259642506520706,0.03986538009328888,3.7666666666666666,3.1050415732866328
40,F,2,1,I,20,4,3,3,3,3,4,0.2853274360367873,0.1802650176476235,2.533333333333333,2.7087587711216186
41,F,2,2,I,20,4,3,3,3,3,4,0.1058795243145045,0.04105407123560171,1.8666666666666667,2.2347642621044366
42,F,3,1,I,10,2,1,1,2,1,3,0.022604845852622138,0.0014076860983260977,2.933333333333333,2.5399950742136626
43,F,3,2,I,10,2,1,1,2,1,3,0.13138541401751824,0.05897767976417763,3.1333333333333333,1.843421185050202
44,F,4,1,I,10,2,1,1,2,1,3,0.4056613521521989,0.3959785770632744,2.3333333333333335,2.5861831941917583
45,F,4,2,I,10,2,1,1,2,1,3,67.40429001826116,0.60788077272551,8.0,10.105024276997192
46,F,5,1,I,15,2,3,2,3,2,3,0.46547718577541874,0.37295778371147903,1.9666666666666666,3.844495573826443
47,F,5,2,I,15,2,3,2,3,2,3,3.594471638793777e-07,2.3948043881522177e-05,1.6666666666666667,0.211754375295363
48,G,1,1,N,9,2,2,1,1,1,2,0.33282048617665067,0.37071437651371486,2.8,2.392228096089827
49,G,1,2,N,9,2,2,1,1,1,2,0.00020371633385954735,0.004336496706009179,3.3333333333333335,1.4431651840448336
50,G,2,1,N,11,2,2,1,2,2,2,0.010626138398578863,0.003703578652078128,2.2333333333333334,1.8567816218982118
51,G,2,2,N,11,2,2,1,2,2,2,0.00024918534478220357,1.992076727934644e-05,2.2333333333333334,1.2025030670885088
52,G,3,1,N,10,1,2,1,2,2,2,0.025220790003985537,0.02076602533775948,2.3,1.5143372205725525
53,G,3,2,N,10,1,2,1,2,2,2,0.0022497875897640124,0.0010500116332203674,2.033333333333333,1.4556936709857156
54,G,4,1,N,6,1,1,1,1,1,1,0.007941073770858682,0.0015452455917711982,2.6333333333333333,1.5457120768459824
55,G,4,2,N,6,1,1,1,1,1,1,0.05209068519192981,0.0064252312085356904,2.5,1.869123664180659
56,G,4,3,N,6,1,1,1,1,1,1,0.5302456952657335,0.04103252965578751,2.8,2.7459031395437234
57,G,4,4,N,6,1,1,1,1,1,1,0.02681307326360299,0.0004376198816672452,2.6333333333333333,1.2738423747898644
58,G,5,1,N,11,1,2,1,2,2,3,0.055399960220009585,0.00021758294163429955,2.2333333333333334,2.5013923334536283
59,G,5,2,N,11,1,2,1,2,2,3,0.0806091299410596,0.0006465611922422514,2.066666666666667,2.09394269094373
60,H,3,1,N,12,3,2,1,3,2,1,0.05000397174030285,0.04395726528862923,4.866666666666666,2.6706853597680804
61,H,3,2,N,12,3,2,1,3,2,1,0.05462956584107759,0.046693665958000126,3.0,2.940557166164298
62,H,4,1,N,22,3,4,3,4,4,4,0.05716246725211708,0.029313341743320374,3.6666666666666665,2.7958100439284475
63,H,4,2,N,22,3,4,3,4,4,4,0.07490448138041872,0.001615583293964429,2.6666666666666665,1.989398595787857
64,H,5,1,N,18,3,3,3,3,3,3,1.3046743957950485e-05,0.033740499992838284,2.6666666666666665,2.5073466735589975
65,H,5,2,N,18,3,3,3,3,3,3,0.012233135521249333,0.004688811082877234,3.2,3.0109251857678756
66,I,1,1,N,9,2,1,1,1,1,3,0.7862258262668012,0.09206746874717138,6.4,3.505126006737118
67,I,1,2,N,9,2,1,1,1,1,3,0.14071355992913082,1.2244102782505857,5.066666666666666,3.937311010539517
68,I,2,1,N,8,1,1,1,2,1,2,1.724693742058341,1.5567572134498462,9.633333333333333,12.466361197671379
69,I,2,2,N,8,1,1,1,2,1,2,1.1409583136597048,0.6251056156045515,7.533333333333333,9.288601051932318
70,I,3,1,N,8,2,1,1,2,1,1,0.7761957564863375,0.5964269646083918,5.233333333333333,3.964905778633068
71,I,3,2,N,8,2,1,1,2,1,1,1.4718881455751416,0.728564850018098,6.466666666666667,5.88886675965864
72,I,5,1,N,6,1,1,1,1,1,1,1.7733939990484546,0.2939240158766299,5.366666666666666,4.151544045712424
73,I,5,2,N,6,1,1,1,1,1,1,0.5641544754310023,0.14037775643649403,8.466666666666667,5.382502998247709
