,User,Trial,Gesture Frequency,Self-Claimed Level,GRS,Respect for Tissue,Suture/Needle Handling,Time and Motion,Flow of Operation,Overall Performance,Quality of Final Product,S - Volume of Motion,S - 80% Volume of Motion,S - 80% V / V Ratio,M - Volume of Motion,M - 80% Volume of Motion,M - 80% V / V Ratio,Time to Completion,S - Economy of Motion,M - Economy of Motion
0,C,2,1,I,22,4,3,3,4,4,4,5.022954339500565,0.04909705314023325,0.009774537019803966,0.1561322545526113,0.011476399717176329,0.07350434892560377,1.8,3.5741713664675614,1.4992766542137852
1,C,3,1,I,18,3,3,3,3,3,3,35.68791312693473,0.11059579625574197,0.0030989706756563476,0.007169743319792847,3.5542420632525666,495.72793679247894,2.0,5.571241479592476,2.1382135635032165
2,C,4,1,I,20,4,3,3,3,3,4,3.395907480226019,0.07378582456678576,0.021727866555974265,0.0014577576061891,10.666669541359392,7317.176392064534,3.966666666666667,8.810829107285462,3.8759428430621012
3,C,5,1,I,20,4,3,3,3,3,4,8.25193700449251,2.144272487471129,0.2598508067019594,0.19219744970705613,0.023271316863414312,0.12108025834309473,2.4,6.838797799620691,4.063331870976748
4,D,1,1,E,14,3,1,2,3,2,3,11.900759187565434,12.098654398063813,1.0166287887503136,0.02133455525963083,3.6048554007600924,168.96791880078172,4.3,8.86390411977564,4.937574801965065
5,D,2,1,E,16,3,2,2,3,3,3,2.2227508801376086,2.678467036668973,1.2050234961567765,0.05214325611490274,0.0006185897082881982,0.011863273496481992,2.8,6.863350921647049,2.9345314579118056
6,D,3,1,E,12,1,2,2,2,2,3,0.055364216645201324,0.09942541538617014,1.7958425389332733,0.015698920701944057,0.03810042311214364,2.4269453827756147,2.2666666666666666,5.41266406482246,2.1713125702505227
7,D,4,1,E,19,3,3,3,4,3,3,0.23258240397361427,0.004818189820444523,0.02071605477511158,0.029551808568177372,1.2053586010324694e-05,0.00040787980818556403,2.7,6.109307398239548,1.9062629540915113
8,D,5,1,E,18,3,3,3,3,3,3,0.37668493009713,0.48617809112025784,1.2906757140374436,0.02211971001322553,0.000438205292941951,0.019810625576915115,2.1,4.668500697129871,2.1616139215129713
9,E,2,1,E,19,3,3,3,3,3,4,1.8240616146436945,0.16445545313129606,0.09015893531832267,0.5705648152745462,0.022559367066142935,0.03953865794421226,3.1666666666666665,4.4247705252533915,4.605839917664484
10,E,3,1,E,22,3,4,3,4,4,4,0.006122567888646714,0.034741106158271466,5.674270467901724,2.4255129110664257,3.1051636890340264,1.2802090951017773,2.6333333333333333,5.635943452129327,4.9832485267718285
11,E,4,1,E,18,2,3,3,4,3,3,0.07980745520408893,0.0011235904559195571,0.014078765612137827,0.003025981154458955,0.0007701495745827178,0.2545123499688221,2.1,3.3105202772288638,0.8714145652045692
12,E,5,1,E,21,3,4,3,4,3,4,738.9529083950354,1.04428789020894,0.0014131995129122304,1.4443982339221364,0.00021239170332013453,0.00014704511424346148,2.933333333333333,4.909501387984035,3.433971278366993
13,F,5,1,I,15,2,3,2,3,2,3,8.926344296186759,1.2638883056152426,0.1415908084740987,15.737224603385142,2.5591628240763025,0.16261843422669434,5.733333333333333,11.000176362095834,19.90069288410625
14,H,4,1,N,22,3,4,3,4,4,4,0.006820172321128306,0.004817125919346518,0.7063056023413775,8.399976390779157e-07,6.190820109817816e-06,7.370044654665481,1.3,1.1920520594545805,0.4563228116558609
15,I,1,1,N,9,2,1,1,1,1,3,2.682812383857942,0.0247440844212004,0.00922318853531527,0.2006416302336109,0.013346578788931718,0.066519489367147,2.466666666666667,5.231512896105875,5.350635008502594
16,I,2,1,N,8,1,1,1,2,1,2,3.6928679813614234,0.057537737253056394,0.01558077286907082,4.6796507366021265,11.18695409739447,2.3905532115666537,3.6,4.874729193584003,9.071729407434777
17,I,3,1,N,8,2,1,1,2,1,1,4.603997318011639,0.23444379569123502,0.05092179241157463,89.16579962192195,30.912016526497474,0.34668019192974936,3.4,6.266354154933237,5.277483835611441
18,I,5,1,N,6,1,1,1,1,1,1,0.3412789445603054,0.1492024408949837,0.4371861882285533,0.015540273558219872,0.000377897989801244,0.02431733189158428,3.0,4.3486175623832155,5.522958613815894
