,User,Trial,Gesture Frequency,Self-Claimed Level,GRS,Respect for Tissue,Suture/Needle Handling,Time and Motion,Flow of Operation,Overall Performance,Quality of Final Product,Volume of Motion,80% Volume of Motion,Time to Completion,Economy of Motion
0,C,1,1,I,11,1,2,1,3,2,2,3.796903509514326,1.0507441610737605,3.0,6.658494919751617
1,C,2,1,I,9,1,1,1,3,1,2,0.12866169363943905,1.8873164695700024,3.5,7.106048720676045
2,C,3,1,I,7,1,1,1,2,1,1,0.0130975383011546,0.013412875875751296,1.9666666666666666,6.986896648486125
3,C,4,1,I,12,1,2,1,3,2,3,0.009382190016932015,0.0039881371468767565,1.9333333333333333,7.861577769788378
4,C,5,1,I,12,1,2,1,3,2,3,8.673757766948304,93504.28409945294,1.5333333333333334,6.693525695956192
5,D,1,1,E,9,1,1,1,2,1,3,1.586444111925106,0.4478143490260201,10.433333333333334,12.637489827908142
6,D,1,2,E,9,1,1,1,2,1,3,0.5711549244504135,0.5525368699566258,3.466666666666667,5.209175193035845
7,D,1,3,E,9,1,1,1,2,1,3,0.9046693962915557,0.9168709221980278,5.933333333333334,5.23561575244561
8,D,1,4,E,9,1,1,1,2,1,3,0.3155815709451811,0.15008438542588184,4.1,4.247966451655222
9,D,2,1,E,11,1,2,1,3,2,2,5.305362463584425,19.6976064320119,4.966666666666667,8.540909285948327
10,D,2,2,E,11,1,2,1,3,2,2,0.44672733962331423,0.8726210854409099,4.933333333333334,5.37134549308798
11,D,3,1,E,10,1,2,1,3,2,1,8.460107659095286e-06,2.4805420780176058e-06,4.333333333333333,0.13645263922237716
12,D,3,2,E,10,1,2,1,3,2,1,0.30134017683947206,0.10249946793725082,5.0,2.470063620035292
13,D,4,1,E,12,2,2,1,3,2,2,3.598984175669886,44.372911435132735,4.133333333333334,7.807999155203069
14,D,5,1,E,13,2,2,1,3,2,3,141.99956149071187,0.3012035738693852,2.466666666666667,4.54980092743557
15,D,5,2,E,13,2,2,1,3,2,3,0.5433405533734859,1.5604431358084827,5.8,5.297757330466403
16,E,1,1,E,13,2,2,2,3,2,2,0.009179928447043573,0.009054974671949665,5.466666666666667,1.739017756246491
17,E,3,1,E,13,3,2,1,3,2,2,2.2198256903125895,0.9730810280416947,12.0,10.372694039121713
18,E,4,1,E,14,2,3,1,3,2,3,0.5175783129315144,0.013878479828786918,6.033333333333333,7.52996788255397
19,E,5,1,E,17,3,3,2,3,3,3,0.852070216295015,0.587416357765764,6.7,6.368041393824414
20,F,1,1,I,22,3,4,3,4,4,4,0.9354351070970923,0.09350300485357445,2.2,7.861073470127532
21,F,3,1,I,15,1,4,3,4,2,1,0.22747595220318573,0.47790952277916116,6.166666666666667,8.796183577621248
22,F,4,1,I,24,4,4,4,4,4,4,10.118744191079834,1.1527181684329975,6.633333333333334,11.638770283009345
23,H,2,1,N,19,3,3,2,4,3,4,0.08908899099640787,0.004139621956924245,3.533333333333333,2.197469780273209
24,H,4,1,N,20,3,3,3,4,3,4,0.029203976635510692,9.463833311187777e-05,2.6333333333333333,1.779348986383634
25,H,4,2,N,20,3,3,3,4,3,4,0.00028798791853467103,0.00019926192126391178,5.0,0.5142504158155781
26,H,5,1,N,21,3,4,3,4,3,4,22.035603824769808,261.0888221947931,6.033333333333333,10.821970368682999
27,I,2,1,N,12,1,3,2,3,2,1,22.178106970532028,0.019901379103068613,10.6,13.169400171468077
28,I,3,1,N,14,2,2,2,3,2,3,0.3783715121704263,11.431071398437933,5.8,11.442705685121128
29,I,4,1,N,18,2,3,2,4,3,4,27.2194177646835,24.35508407781877,6.6,9.774021518697209
30,I,5,1,N,23,4,4,3,4,4,4,0.25045495428904135,0.3490067829102545,6.633333333333334,8.196995228216654
