,User,Trial,Gesture Frequency,Self-Claimed Level,GRS,Respect for Tissue,Suture/Needle Handling,Time and Motion,Flow of Operation,Overall Performance,Quality of Final Product,Volume of Motion,80% Volume of Motion,Time to Completion,Economy of Motion
0,C,1,1,I,11,1,2,1,3,2,2,0.008318772818949237,0.018363949579938955,5.266666666666667,4.571941725415235
1,C,2,1,I,9,1,1,1,3,1,2,5.3083358703823835,1.2840942337879477,7.466666666666667,5.300449870882313
2,C,2,2,I,9,1,1,1,3,1,2,0.49312516788925137,0.4137379597717849,3.466666666666667,4.293328627358163
3,C,3,1,I,7,1,1,1,2,1,1,0.7191599838291353,0.7625368227776637,6.333333333333333,3.7798612499634645
4,C,3,2,I,7,1,1,1,2,1,1,9.233977428375214,6.145771342639655,12.933333333333334,16.73238022540086
5,C,3,3,I,7,1,1,1,2,1,1,2.9398679876681726,0.38957041748666055,4.933333333333334,5.2132452592503284
6,C,4,1,I,12,1,2,1,3,2,3,0.06877510796662871,0.02564440677534227,4.633333333333334,3.3052786878347997
7,C,5,1,I,12,1,2,1,3,2,3,0.12501668375200914,0.0318222026729821,4.733333333333333,3.0327389911987375
8,C,5,2,I,12,1,2,1,3,2,3,4.2833566825740865e-06,5.757813500912973e-05,1.4333333333333333,0.48147151473865657
9,D,1,1,E,9,1,1,1,2,1,3,0.0008853701104228667,0.000628327726479668,2.6,0.6467999323366025
10,D,1,2,E,9,1,1,1,2,1,3,0.012333824142816325,0.18221310391854048,2.6333333333333333,1.4387975037147231
11,D,2,1,E,11,1,2,1,3,2,2,0.015071465139101606,0.0033841007501950672,3.4,2.5987386106221435
12,D,2,2,E,11,1,2,1,3,2,2,3.541255415430391e-06,3.664342730815363e-06,1.9666666666666666,0.2626293094500814
13,D,3,1,E,10,1,2,1,3,2,1,4.08595079612832,4.114564805212096,3.966666666666667,5.370229229573906
14,D,3,2,E,10,1,2,1,3,2,1,12.27814045587082,5.100637375676096,11.0,11.72977039093148
15,D,4,1,E,12,2,2,1,3,2,2,0.0003673309031936906,0.0006931441293736915,2.8666666666666667,0.8631738849038022
16,D,5,1,E,13,2,2,1,3,2,3,0.00729665551610033,0.00026817044136415847,5.9,0.6828158182077735
17,E,1,1,E,13,2,2,2,3,2,2,0.004372171336811206,0.002097796346530555,2.8,0.9102330645280226
18,E,1,2,E,13,2,2,2,3,2,2,0.07011149720184258,0.03653160639014954,5.2,2.9021082118450847
19,E,4,1,E,14,2,3,1,3,2,3,2.079805112174026,0.8649847609642574,12.933333333333334,7.848196053706731
20,E,5,1,E,17,3,3,2,3,3,3,0.027709899394590908,0.010534642740900314,6.1,2.0298513393371227
21,F,1,1,I,22,3,4,3,4,4,4,0.2301935281064332,0.01133229585625047,2.6333333333333333,2.3775592497358184
22,F,3,1,I,15,1,4,3,4,2,1,0.007366880711741533,0.007765015768327931,3.066666666666667,2.1762067564485443
23,H,2,1,N,19,3,3,2,4,3,4,93223.86174593166,2.0102694002043417,12.833333333333334,15.628084584716373
24,H,5,1,N,21,3,4,3,4,3,4,0.013882479240560462,0.00027423794610462247,3.1333333333333333,0.9167949546847971
25,I,3,1,N,14,2,2,2,3,2,3,1.4786201271458816,1.198867979472372,17.9,13.232505901622721
26,I,4,1,N,18,2,3,2,4,3,4,2.298537688263497,0.9431003817323274,7.833333333333333,5.770549129600913
27,I,5,1,N,23,4,4,3,4,4,4,1.1713714517396505,0.7602576022559342,6.533333333333333,6.02235814738385
