,User,Trial,Gesture Frequency,Self-Claimed Level,GRS,Volume of Motion,80% Volume of Motion,Time to Completion,Economy of Motion
0,C,1,1,I,11,3.3103823040184204,3.3103823040184204,5.266666666666667,7.496727182835677
1,C,2,1,I,9,0.3093074113785291,0.3093074113785291,7.466666666666667,16.123538602186652
2,C,2,2,I,9,0.0020964510908652936,0.0020964510908652936,3.466666666666667,3.774063871780071
3,C,3,1,I,7,3.8867849156961634,3.8867849156961634,6.333333333333333,6.396483036542438
4,C,3,2,I,7,12.729658680767807,12.729658680767807,12.933333333333334,18.4715452125801
5,C,3,3,I,7,1.402532123244588,1.402532123244588,4.933333333333334,5.809292738714891
6,C,4,1,I,12,0.12725542228455283,0.12725542228455283,4.633333333333334,3.7152485787793457
7,C,5,1,I,12,6.847329585826582,6.847329585826582,4.733333333333333,5.228614454526475
8,C,5,2,I,12,42.33948965485602,42.33948965485602,1.4333333333333333,1.0791586331406493
9,D,1,1,E,9,0.003500845520180251,0.003500845520180251,2.6,1.9528898487052813
10,D,1,2,E,9,0.0016554660326661412,0.0016554660326661412,2.6333333333333333,1.454492057160834
11,D,2,1,E,11,0.28484537209533606,0.28484537209533606,3.4,3.4241686550884216
12,D,2,2,E,11,0.003802779151654182,0.003802779151654182,1.9666666666666666,0.8963111904380693
13,D,3,1,E,10,7.747399471134685,7.747399471134685,3.966666666666667,8.85272521533716
14,D,3,2,E,10,1.6430871797862947,1.6430871797862947,11.0,10.055294234601854
15,D,4,1,E,12,0.06073549722841962,0.06073549722841962,2.8666666666666667,2.943899782193783
16,D,5,1,E,13,0.7410769272855727,0.7410769272855727,5.9,5.8911554519944875
17,E,1,1,E,13,0.01943439145907358,0.01943439145907358,2.8,3.558281680865202
18,E,1,2,E,13,0.2229209815902611,0.2229209815902611,5.2,4.054775202158268
19,E,4,1,E,14,64.44301102759603,64.44301102759603,12.933333333333334,14.212414775984161
20,E,5,1,E,17,0.46415256117856346,0.46415256117856346,6.1,5.123936412485075
21,F,1,1,I,22,0.41353981393572536,0.41353981393572536,2.6333333333333333,3.1183401757559186
22,F,3,1,I,15,0.17114728148955327,0.17114728148955327,3.066666666666667,3.2611291841572423
23,H,2,1,N,19,3.1296754293512925,3.1296754293512925,12.833333333333334,15.02526143893428
24,H,5,1,N,21,0.03216989774205252,0.03216989774205252,3.1333333333333333,1.5815443997652432
25,I,3,1,N,14,12.605364892263202,12.605364892263202,17.9,24.845004015928556
26,I,4,1,N,18,345.9418906356178,345.9418906356178,7.833333333333333,12.479569527083411
27,I,5,1,N,23,2.0135606269155373,2.0135606269155373,6.533333333333333,10.917910623252352
